Seed,Dataset,Model,Sequence Length,Embedding Size,Memory Usage (MB),Training Time (seconds),Training Time per Epoch (seconds),NDCG@10,HIT@10
42,ML-20M,BERT4Rec,200,128,11603,2015,101,0.760,0.941
42,ML-20M,BERT4Rec,200,256,12568,3215,161,0.785,0.948
123,ML-20M,BERT4Rec,50,64,2792,589,29,0.719,0.920
123,ML-20M,BERT4Rec,50,128,2944,697,35,0.754,0.933
123,ML-20M,BERT4Rec,50,256,3258,989,49,0.770,0.938
123,ML-20M,BERT4Rec,100,64,5546,1209,60,0.721,0.924
123,ML-20M,BERT4Rec,100,128,5814,1515,76,0.757,0.936
123,ML-20M,BERT4Rec,100,256,6323,1849,92,0.780,0.945
123,ML-20M,BERT4Rec,200,64,11136,1590,79,0.723,0.925
123,ML-20M,BERT4Rec,200,128,11603,2087,104,0.757,0.937
123,ML-20M,BERT4Rec,200,256,12568,3182,159,0.781,0.945
0,ML-20M,Cotten4Rec,50,64,2119,707,35,0.701,0.912
0,ML-20M,Cotten4Rec,50,128,2266,630,32,0.741,0.930
0,ML-20M,Cotten4Rec,50,256,2561,908,45,0.769,0.939
0,ML-20M,Cotten4Rec,100,64,4175,740,37,0.698,0.918
0,ML-20M,Cotten4Rec,100,128,4427,904,45,0.742,0.933
0,ML-20M,Cotten4Rec,100,256,4901,1534,77,0.777,0.945
0,ML-20M,Cotten4Rec,200,64,8296,1070,54,0.701,0.921
0,ML-20M,Cotten4Rec,200,128,8728,1410,70,0.745,0.935
0,ML-20M,Cotten4Rec,200,256,9606,2627,131,0.775,0.946
42,ML-20M,Cotten4Rec,50,64,2119,539,27,0.707,0.913
42,ML-20M,Cotten4Rec,50,128,2266,606,30,0.749,0.930
42,ML-20M,Cotten4Rec,50,256,2561,894,45,0.768,0.939
42,ML-20M,Cotten4Rec,100,64,4175,707,35,0.704,0.916
42,ML-20M,Cotten4Rec,100,128,4427,911,46,0.747,0.936
42,ML-20M,Cotten4Rec,100,256,4901,1475,74,0.772,0.943
42,ML-20M,Cotten4Rec,200,64,8296,1065,53,0.701,0.919
